event_month,aar,std,n,se,t_stat,api,news,event,model,surprise
-6,0.016624201027229585,0.08877039484147138,1040,0.0027526530908852857,6.0393374967141416,0.8932380814664026,Bad,FYE,MM (EW),TSUE
-5,0.012757987458195244,0.11327099508795692,1040,0.003512384453097568,3.632286735281495,0.9046340017069335,Bad,FYE,MM (EW),TSUE
-4,0.000993385686576825,0.09516664287006328,1040,0.002950992322533572,0.33662767571145513,0.90553265217582,Bad,FYE,MM (EW),TSUE
-3,-0.0038394068478299777,0.08424942535600054,1040,0.002612463778331214,-1.4696497917695566,0.9020559439101224,Bad,FYE,MM (EW),TSUE
-2,-0.010237542421306986,0.08827914863775496,1040,0.002737420192761305,-3.739850552859449,0.8928211079179504,Bad,FYE,MM (EW),TSUE
-1,0.004367058491160797,0.12810072916610404,1040,0.003972234985700447,1.0993958078718065,0.8967201099183711,Bad,FYE,MM (EW),TSUE
0,0.03141688250756802,0.12547002483747752,1040,0.0038906603074044793,8.074948729853704,0.9248922602538502,Bad,FYE,MM (EW),TSUE
1,-0.018765444948076686,0.09412535057997433,1040,0.0029187032193258287,-6.429377548160305,0.9075362454611543,Bad,FYE,MM (EW),TSUE
2,-0.03502606825010938,0.11932699831622091,1040,0.0037001731413698466,-9.466061968425166,0.875748818988184,Bad,FYE,MM (EW),TSUE
3,0.0031410255894897127,0.09030741792871214,1037,0.002804361827295227,1.1200500445119785,0.8784995684385912,Bad,FYE,MM (EW),TSUE
4,-0.019716542654362266,0.08246341914418409,1032,0.002566974113951121,-7.6808498173806266,0.8611785942256328,Bad,FYE,MM (EW),TSUE
5,-0.0068886917022907,0.11796087313600845,1026,0.0036826826700324575,-1.8705634776373459,0.8552462003894004,Bad,FYE,MM (EW),TSUE
6,-0.0069978810150399095,0.08127950165953916,1026,0.002537507600891838,-2.7577773609743743,0.8492612892405104,Bad,FYE,MM (EW),TSUE
-12,0.012421628046716026,0.0943137572201102,1342,0.0025745349298558,4.824804628854565,1.0,Good,FYE,MM (VW),SUE
-11,0.036129043994205336,0.11277634331531652,1342,0.0030785183803999955,11.735854566998247,1.0361290439942052,Good,FYE,MM (VW),SUE
-10,0.006763324287538598,0.10095753473743559,1342,0.002755893808864574,2.4541309486540346,1.0431367207224755,Good,FYE,MM (VW),SUE
-9,-0.05917584903870595,0.11842847358670369,1342,0.003232807714646546,-18.304784652240244,0.9814082196102716,Good,FYE,MM (VW),SUE
-8,-0.01827147726739647,0.10021615378984736,1342,0.002735655922026486,-6.679011464958483,0.9634764416356265,Good,FYE,MM (VW),SUE
-7,-0.010804350870237489,0.13572706671240511,1342,0.0037050170036428865,-2.9161406977658455,0.9530667041049874,Good,FYE,MM (VW),SUE
-6,0.010969080903508276,0.09732735286840917,1342,0.00265679872137139,4.128683447215091,0.9635209698887551,Good,FYE,MM (VW),SUE
-5,0.017598968670823577,0.11316789417352947,1342,0.003089206761300055,5.696921582360278,0.9804779452515088,Good,FYE,MM (VW),SUE
-4,-0.017927166835852278,0.11325236917403404,1342,0.003091512722232043,-5.7988332724405005,0.9629007535481114,Good,FYE,MM (VW),SUE
-3,-0.005161869042099804,0.0882038204697312,1342,0.002407748598288614,-2.1438571476144856,0.9579303859577569,Good,FYE,MM (VW),SUE
-2,-0.034356767577298594,0.09605107396729903,1341,0.0026229368598048933,-13.098587352138631,0.9250189943321743,Good,FYE,MM (VW),SUE
-1,0.014765961950611504,0.14197087541412243,1342,0.0038754577121006472,3.8101207773488475,0.9386777896060761,Good,FYE,MM (VW),SUE
0,0.055707466169572395,0.12386266778904065,1342,0.0033811479271659683,16.475903264092214,0.9909691508146857,Good,FYE,MM (VW),SUE
1,-0.035589520925350795,0.10150927539259945,1342,0.0027709549794807096,-12.843774506946499,0.9557010334853893,Good,FYE,MM (VW),SUE
2,0.002996792461903549,0.1367729387731431,1342,0.0037335667532435316,0.802662081587289,0.9585650711383719,Good,FYE,MM (VW),SUE
3,0.0056295609792546,0.10276022133091053,1340,0.0028071953241702073,2.0054040881243878,0.9639613716589287,Good,FYE,MM (VW),SUE
4,-0.012290011174673566,0.09781634752091556,1336,0.002676136202028174,-4.592446066593802,0.952114275629287,Good,FYE,MM (VW),SUE
5,-0.014750687100620316,0.13076101594974063,1330,0.00358552261185962,-4.113957349433621,0.9380699358654455,Good,FYE,MM (VW),SUE
6,-0.04632416722831833,0.08965747009900328,1328,0.002460296464491221,-18.82869316641398,0.8946146272845568,Good,FYE,MM (VW),SUE
-12,0.00882143498533139,0.11033342528845998,836,0.0038159613059957345,2.31172023979146,1.0,Bad,FYE,MM (VW),SUE
-11,0.042364959281397885,0.12280323970060111,836,0.004247238855525918,9.974706090823801,1.042364959281398,Bad,FYE,MM (VW),SUE
-10,-0.0018044701514289272,0.1074276940835812,836,0.0037154644908696526,-0.4856647549352753,1.0404840428254791,Bad,FYE,MM (VW),SUE
