event_month,aar,std,n,se,t_stat,api,news,spec
11,-0.01438138232912153,0.09386231016594518,1114,0.002812215797679513,-5.113897141530981,0.9651283524349478,Good,FFC+SUE
12,-0.003599259658410404,0.07524299268542173,209,0.0052046666345075465,-0.6915447061579109,0.9616546048908404,Good,FFC+SUE
-12,0.00031448582446386234,0.08770859027371998,841,0.0030244341473696546,0.103981706706152,1.0,Bad,FFC+SUE
-11,-0.012057302629385338,0.10013902695576572,841,0.003453069895026404,-3.4917632703444426,0.9879426973706147,Bad,FFC+SUE
-10,0.003272143828083836,0.09742209460215455,841,0.003359382572488088,0.9740313160166096,0.9911753879703165,Bad,FFC+SUE
-9,0.0013978810834617546,0.11439433474145684,841,0.003944632232464029,0.35437551616530877,0.9925609332955532,Bad,FFC+SUE
-8,-0.01793946836294762,0.11457994484024593,841,0.0039510325806981356,-4.540450628169148,0.9747549178343998,Bad,FFC+SUE
-7,-0.00033795965262974493,0.1015996127026276,841,0.003503434920780262,-0.09646522920268111,0.9744254900009695,Bad,FFC+SUE
-6,-0.010099263355214667,0.10197528736000241,841,0.0035163892193104283,-2.8720550329736123,0.9645845103574155,Bad,FFC+SUE
-5,0.006783224939400751,0.10750372432907987,841,0.003707024976864823,1.8298298451545882,0.9711275040642315,Bad,FFC+SUE
-4,8.472151843525129e-05,0.09771965060800253,841,0.00336964312441388,0.02514257899343209,0.9712097794609701,Bad,FFC+SUE
-3,-0.005536341750541236,0.13805600638635057,841,0.0047605519443569165,-1.16296215549206,0.9658328302104063,Bad,FFC+SUE
-2,0.006713814876191167,0.16734506347735062,841,0.00577051943025347,1.1634680304501224,0.9723172530337868,Bad,FFC+SUE
-1,0.005461592654486918,0.16219277111346148,841,0.005592854176326258,0.9765304945022614,0.9776276538007871,Bad,FFC+SUE
0,-0.002960608426292622,0.1383394837816124,841,0.004770327026952152,-0.6206300762118206,0.9747332811311678,Bad,FFC+SUE
1,-0.016252986570164295,0.1521852826942052,841,0.005247768368765697,-3.097123468120428,0.9588909542034507,Bad,FFC+SUE
2,-0.012439079829582098,0.1087080989687803,835,0.00376199889239147,-3.306508105236225,0.9469632330762499,Bad,FFC+SUE
3,-0.01183493012920505,0.11599479288585507,834,0.004016571186557205,-2.946525675634629,0.9357559893778663,Bad,FFC+SUE
4,-0.005757018516241162,0.1414933652611223,828,0.004917234358397762,-1.1707838383601135,0.9303688248203343,Bad,FFC+SUE
5,-0.008653277588336046,0.1259155640597194,824,0.004386476524677879,-1.972717177364012,0.9223180851196301,Bad,FFC+SUE
6,-0.0003290997746197134,0.14901577736897315,821,0.005200686489034129,-0.06328006414415374,0.9220145504456895,Bad,FFC+SUE
7,0.0006873061945328321,0.14227843693767284,818,0.004974648888278159,0.13816174969701722,0.9226482567576602,Bad,FFC+SUE
8,0.006949962287541028,0.11840745708913103,812,0.004155287138080182,1.6725588525157942,0.9290606273467914,Bad,FFC+SUE
9,-0.008444553438837505,0.14252193191453846,807,0.005017009614593867,-1.6831846234205594,0.9212151252312415,Bad,FFC+SUE
10,-0.021843752043775866,0.13447542882792454,788,0.004790488799924363,-4.55981695315116,0.9010923304567143,Bad,FFC+SUE
11,-0.007711484226408557,0.09607525845353745,602,0.0039157352060853285,-1.9693579418813527,0.8941435711638596,Bad,FFC+SUE
12,0.0019772730763846368,0.054810455318974875,133,0.004752669224123944,0.41603422900719667,0.8959115371735443,Bad,FFC+SUE
